state,state_code,RC,GP,P,TS,W,R,Avg (Reduction),Avg_Positive
Maharastra,mh,-80,-35,-70,-66,-63,31,-0.471666667,0.528333333
Delhi,dl,-73,-37,-92,-65,-58,26,-0.498333333,0.501666667
Gujarat,gj,-76,-27,-65,-44,-46,24,-0.39,0.61
Tamil Nadu,tn,-68,-12,-39,-39,-42,25,-0.291666667,0.708333333
Madhya Pradesh,mp,-74,-22,-64,-46,-40,21,-0.375,0.625
Rajasthan,rj,-69,-4,-71,-44,-34,17,-0.341666667,0.658333333
Uttar Pradesh,up,-69,-5,-46,-51,-37,18,-0.316666667,0.683333333
Punjab,pb,-64,-7,-71,-48,-33,15,-0.346666667,0.653333333
West Bengal,wb,-85,-51,-57,-70,-62,13,-0.52,0.48
Andhra Pradesh,ap,-65,-13,-22,-41,-15,10,-0.243333333,0.756666667
Bihar,br,-67,10,-2,-40,-22,10,-0.185,0.815
